2020-06-06,105
2020-09-07,101
2020-08-27,97
2020-06-05,96
2020-06-27,95
2020-11-25,94
2020-07-04,93
2020-04-19,93
2020-09-14,92
2020-05-03,91
2020-11-06,91
2020-07-26,90
2020-12-09,90
2020-04-28,90
2020-04-01,90
2020-01-07,90
2020-10-01,89
2020-07-21,89
2020-05-19,89
2020-05-08,88
2020-07-03,88
2020-01-09,88
2020-05-13,87
2020-03-16,87
2020-02-13,87
2020-10-24,87
2020-12-12,87
2020-03-14,87
2020-04-23,87
2020-09-06,86
2020-01-08,86
2020-10-22,86
2020-10-06,86
2020-06-09,86
2020-05-23,86
2020-09-21,86
2020-12-18,85
2020-01-14,85
2020-07-15,85
2020-12-05,85
2020-01-01,85
2020-09-16,84
2020-11-15,84
2020-11-03,84
2020-05-12,84
2020-04-15,84
2020-05-14,84
2020-10-12,84
2020-05-06,84
2020-02-02,84
2020-12-21,83
2020-10-19,83
2020-01-21,83
2020-05-21,83
2020-03-23,83
2020-05-07,83
2020-09-22,83
2020-05-27,83
2020-06-07,83
2020-03-05,82
2020-04-02,82
2020-12-07,82
2020-08-04,82
2020-10-09,82
2020-09-20,82
2020-08-03,82
2020-11-20,82
2020-01-23,82
2020-04-22,82
2020-02-26,82
2020-01-11,82
2020-08-07,82
2020-12-26,81
2020-04-12,81
2020-06-24,81
2020-02-09,81
2020-06-04,81
2020-07-17,81
2020-07-10,81
2020-12-04,81
2020-02-28,81
2020-07-19,81
2020-04-05,81
2020-09-03,81
2020-11-10,81
2020-05-25,81
2020-10-14,80
2020-10-27,80
2020-05-26,80
2020-06-19,80
2020-09-09,80
2020-12-28,80
2020-01-18,80
2020-12-15,80
2020-02-07,80
2020-09-27,80
2020-01-10,80
2020-09-04,80
2020-04-14,80
2020-08-22,80
2020-01-22,79
2020-08-21,79
2020-05-05,79
2020-01-28,79
2020-03-07,79
2020-08-08,79
2020-02-04,79
2020-11-17,79
2020-07-09,79
2020-03-06,79
2020-02-11,79
2020-08-02,79
2020-02-14,78
2020-12-06,78
2020-02-06,78
2020-11-11,78
2020-07-27,78
2020-06-15,78
2020-11-01,78
2020-12-25,78
2020-07-18,78
2020-05-15,78
2020-02-05,78
2020-09-28,78
